  65	1	0.3145%	     1	0.001%
  71	1	0.3145%	     2	0.002%
  75	1	0.3145%	     3	0.003%
  81	1	0.3145%	     4	0.004%
  83	1	0.3145%	     5	0.005%
  85	1	0.3145%	     6	0.006%
  86	1	0.3145%	     7	0.007%
  87	1	0.3145%	     8	0.008%
  89	1	0.3145%	     9	0.009%
  97	2	0.6289%	    11	0.011%
 104	2	0.6289%	    13	0.013%
 106	2	0.6289%	    15	0.015%
 108	2	0.6289%	    17	0.017%
 114	2	0.6289%	    19	0.019%
 115	1	0.3145%	    20	0.02%
 116	1	0.3145%	    21	0.021%
 117	1	0.3145%	    22	0.022%
 118	2	0.6289%	    24	0.024%
 120	1	0.3145%	    25	0.025%
 121	2	0.6289%	    27	0.027%
 122	1	0.3145%	    28	0.028%
 123	3	0.9434%	    31	0.031%
 125	1	0.3145%	    32	0.032%
 126	1	0.3145%	    33	0.033%
 127	1	0.3145%	    34	0.034%
 128	3	0.9434%	    37	0.037%
 129	1	0.3145%	    38	0.038%
 131	1	0.3145%	    39	0.039%
 132	1	0.3145%	    40	0.04%
 133	3	0.9434%	    43	0.043%
 134	2	0.6289%	    45	0.045%
 135	4	 1.258%	    49	0.049%
 136	2	0.6289%	    51	0.051%
 138	3	0.9434%	    54	0.054%
 139	3	0.9434%	    57	0.057%
 140	2	0.6289%	    59	0.059%
 141	5	 1.572%	    64	0.064%
 143	2	0.6289%	    66	0.066%
 144	5	 1.572%	    71	0.071%
 145	2	0.6289%	    73	0.073%
 146	3	0.9434%	    76	0.076%
 147	3	0.9434%	    79	0.079%
 148	10	 3.145%	    89	0.089%
 149	2	0.6289%	    91	0.091%
 150	4	 1.258%	    95	0.095%
 151	3	0.9434%	    98	0.098%
 152	2	0.6289%	   100	0.1%
 153	5	 1.572%	   105	0.105%
 154	2	0.6289%	   107	0.107%
 155	2	0.6289%	   109	0.109%
 156	3	0.9434%	   112	0.112%
 157	5	 1.572%	   117	0.117%
 158	9	  2.83%	   126	0.126%
 159	7	 2.201%	   133	0.133%
 160	6	 1.887%	   139	0.139%
 161	2	0.6289%	   141	0.141%
 162	2	0.6289%	   143	0.143%
 163	5	 1.572%	   148	0.148%
 164	11	 3.459%	   159	0.159%
 165	4	 1.258%	   163	0.163%
 166	11	 3.459%	   174	0.174%
 167	5	 1.572%	   179	0.179%
 168	15	 4.717%	   194	0.194%
 169	12	 3.774%	   206	0.206%
 170	16	 5.031%	   222	0.222%
 171	15	 4.717%	   237	0.237%
 172	15	 4.717%	   252	0.252%
 173	9	  2.83%	   261	0.261%
 174	16	 5.031%	   277	0.277%
 175	10	 3.145%	   287	0.287%
 176	11	 3.459%	   298	0.298%
 177	6	 1.887%	   304	0.304%
 178	8	 2.516%	   312	0.312%
 179	12	 3.774%	   324	0.324%
 180	10	 3.145%	   334	0.334%
 181	13	 4.088%	   347	0.347%
 182	23	 7.233%	   370	0.37%
 183	40	 12.58%	   410	0.41%
 184	21	 6.604%	   431	0.431%
 185	48	 15.09%	   479	0.479%
 186	19	 5.975%	   498	0.498%
 187	18	  5.66%	   516	0.516%
 188	12	 3.774%	   528	0.528%
 189	25	 7.862%	   553	0.553%
 190	12	 3.774%	   565	0.565%
 191	13	 4.088%	   578	0.578%
 192	17	 5.346%	   595	0.595%
 193	18	  5.66%	   613	0.613%
 194	17	 5.346%	   630	0.63%
 195	33	 10.38%	   663	0.663%
 196	26	 8.176%	   689	0.689%
 197	50	 15.72%	   739	0.739%
 198	43	 13.52%	   782	0.782%
 199	28	 8.805%	   810	0.81%
 200	54	 16.98%	   864	0.864%
 201	27	 8.491%	   891	0.891%
 202	25	 7.862%	   916	0.916%
 203	23	 7.233%	   939	0.939%
 204	31	 9.748%	   970	0.97%
 205	18	  5.66%	   988	0.988%
 206	20	 6.289%	  1008	1.008%
 207	27	 8.491%	  1035	1.035%
 208	34	 10.69%	  1069	1.069%
 209	19	 5.975%	  1088	1.088%
 210	39	 12.26%	  1127	1.127%
 211	33	 10.38%	  1160	1.16%
 212	44	 13.84%	  1204	1.204%
 213	68	 21.38%	  1272	1.272%
 214	36	 11.32%	  1308	1.308%
 215	65	 20.44%	  1373	1.373%
 216	38	 11.95%	  1411	1.411%
 217	57	 17.92%	  1468	1.468%
 218	43	 13.52%	  1511	1.511%
 219	32	 10.06%	  1543	1.543%
 220	27	 8.491%	  1570	1.57%
 221	30	 9.434%	  1600	1.6%
 222	22	 6.918%	  1622	1.622%
 223	45	 14.15%	  1667	1.667%
 224	33	 10.38%	  1700	1.7%
 225	48	 15.09%	  1748	1.748%
 226	41	 12.89%	  1789	1.789%
 227	61	 19.18%	  1850	1.85%
 228	70	 22.01%	  1920	1.92%
 229	77	 24.21%	  1997	1.997%
 230	78	 24.53%	  2075	2.075%
 231	51	 16.04%	  2126	2.126%
 232	70	 22.01%	  2196	2.196%
 233	42	 13.21%	  2238	2.238%
 234	38	 11.95%	  2276	2.276%
 235	36	 11.32%	  2312	2.312%
 236	39	 12.26%	  2351	2.351%
 237	50	 15.72%	  2401	2.401%
 238	61	 19.18%	  2462	2.462%
 239	30	 9.434%	  2492	2.492%
